id	topic	subtopic	type	difficulty	marks	family	scenario	prompt	answer_outline	tags	source	exam_trap
Q00012	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	Electricity Utility App	"For the Electricity Utility App, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Utility Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Electricity Utility App**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, Electricity Utility App	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00013	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Electricity Utility App	"In the Electricity Utility App, Layer is used as described: The development team frequently changes the Utility Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, Electricity Utility App	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00014	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	Electricity Utility App	"An architect claims that once Layer is selected for the Electricity Utility App, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Utility Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, Electricity Utility App	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00015	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	Electricity Utility App	"A team designing the Electricity Utility App is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Utility Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, Electricity Utility App	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00016	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	Digital Game Store	"Digital Game Store: The development team frequently changes the Game Distribution Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Game Distribution Platform.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, Digital Game Store, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00017	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	Digital Game Store	"For the Digital Game Store, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Game Distribution Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Digital Game Store**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, Digital Game Store	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00018	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Digital Game Store	"In the Digital Game Store, Layer is used as described: The development team frequently changes the Game Distribution Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, Digital Game Store	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00019	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	Digital Game Store	"An architect claims that once Layer is selected for the Digital Game Store, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Game Distribution Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, Digital Game Store	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00020	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	Digital Game Store	"A team designing the Digital Game Store is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Game Distribution Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, Digital Game Store	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00021	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	Flight Booking System	"Flight Booking System: The development team frequently changes the Flight Booking System user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Flight Booking System.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, Flight Booking System, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00022	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	Flight Booking System	"For the Flight Booking System, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Flight Booking System user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Flight Booking System**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, Flight Booking System	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00023	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Flight Booking System	"In the Flight Booking System, Layer is used as described: The development team frequently changes the Flight Booking System user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, Flight Booking System	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00024	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	Flight Booking System	"An architect claims that once Layer is selected for the Flight Booking System, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Flight Booking System user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, Flight Booking System	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00025	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	Flight Booking System	"A team designing the Flight Booking System is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Flight Booking System user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, Flight Booking System	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00026	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	E-Commerce Marketplace	"E-Commerce Marketplace: The development team frequently changes the Marketplace user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Marketplace.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, E-Commerce Marketplace, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00027	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	E-Commerce Marketplace	"For the E-Commerce Marketplace, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Marketplace user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **E-Commerce Marketplace**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, E-Commerce Marketplace	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00028	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	E-Commerce Marketplace	"In the E-Commerce Marketplace, Layer is used as described: The development team frequently changes the Marketplace user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, E-Commerce Marketplace	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00029	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	E-Commerce Marketplace	"An architect claims that once Layer is selected for the E-Commerce Marketplace, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Marketplace user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, E-Commerce Marketplace	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00030	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	E-Commerce Marketplace	"A team designing the E-Commerce Marketplace is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Marketplace user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, E-Commerce Marketplace	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00031	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	Digital Banking App	"Digital Banking App: The development team frequently changes the Banking Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Banking Application.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, Digital Banking App, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00032	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	Digital Banking App	"For the Digital Banking App, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Banking Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Digital Banking App**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, Digital Banking App	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
